compound	混合物：something composed；混合的：consisting；混合：together；扩大，增多：greater；和解：agree
compress	压缩（体积）：reduce size, volume
compromise	妥协：concessions；使危险：danger
compunction	焦虑，内疚，良心不安：anxiety, guilt
concatenate	连结，混合：bring together
concave	凹的：curved
conceal	隐藏，隐瞒：prevent disclosure
concede	承认：grant；停止抵抗：cease resistance
concentrate	集中：focus；浓缩：less dilute；聚集：together
concerted	共同完成的：accomplished together
conciliate	平息，抚慰：lessen the anger；调解：compatible, reconcile
concise	简洁的：brevity
concord	一致，和睦：harmony, agreement
concur	同意：agreement；同一时间发生、存在：same time；团结合作：joint
condescending	摆出高人一等的姿态的：patronizingly superior
condign	应得的，恰当的：deserved
condole	表达同情：sympathetic
condone	宽恕；忽视：forgive
conducive	有益的，有促进作用的：promote
confident	有信心的，自信的：assurance, self-reliance
confine	禁闭，监禁：imprison；限制：limits
confluence	汇合，混合：together same
confront	直接对抗，直面：face to face
confound	使困惑：uncertainty；无法区分，混淆：fail to differentiate；证明为假，证伪：false
congeal	凝固，固化：solid state
congenial	和善的，友好的：agreement；令人愉悦的：giving pleasure
congruent	和谐一致的：in agreement；全等的：coinciding
conjecture	揣测的结果：conclusion by surmise；猜测，估计（大小、数量等）：decide without actual measurement；（没有依据地）认为：form an opinion
connive	暗中合作，共谋：cooperate secretly；纵容：假装忽视或并未采取措施阻止错误：pretend ignorance ought to oppose
connoisseur	鉴赏家（尤指艺术领域）：with discrimination, appreciation；专家：high level of knowledge
conscientious	仔细的，一丝不苟的：involving great care；有良心的，正直的：governed by conscience
consensus	一致同意：general agreement
consequence	结果：produced by cause；重要性，价值：importance
conservative	守旧的，不愿改变的：oppose change；不招摇的，低调的：not showy；谨慎小心的：close attentiveness
conservatory	温室：greenhouse；艺术学院：school arts
conserve	保存，避免浪费：keep avoid wasteful
considerable	（数量上）可观（而值得注意）的：large；值得考虑的，重要的：significant
console	安慰，慰藉：alleviate, comfort
consolidate	使联合，统一：join together；加固，使安全：make firm
consonant	和谐一致的：in agreement
conspicuous	显而易见的；吸引人的：obvious
conspire	合谋，密谋：plan secretly
constitute	指派，任命：appoint；构成：make up
constrain	限制：restriction；使人屈服于（压力、感情）等：give in to pressure
constringe	使紧缩：draw together
construct	建造，建立：form；创造，想出：create imagination
consummate	专业的，有造诣的：extremely skilled；无纰漏的，完美的：perfect；最高档次的，最大规模的：highest degree
contagious	传染的：communicate；（情绪等）唤起共鸣的：exciting a similar feeling
contaminate	污染，感染：stain
content	使满足：appease；主题：major subject of interest；内容，内涵：idea that is conveyed
contentious	引起争论的：argumentative；好争论的，好战的：tendency quarrels
contiguous	接壤的，相邻的：sharing an edge
contort	扭曲：twist
contract	契约，合同：binding agreement；收缩：reduce size；感染疾病：become affected
contravene	违反，反对：violate, oppose
contrite	（因为有罪孽或过错而感到）后悔悲痛的：showing remorse
contumacious	不服从的，倔强的：disobedient
conundrum	无法解决的问题，迷：insoluble, dilemma
convalesce	渐渐康复，渐愈：recover gradually
convenience	便利，方便：fitness suitability
convention	常规，习俗：agreement, acceptance；公约，协议：agreement；大会，集会：coming together
converge	汇集，交汇于一点：move toward one
conversant	熟悉的：familiar
convert	被改变宗教信仰的人：converted；使改变信仰：bring over from brief；改变，转化：alter
convex	凸起的：curves outward
convey	运输：transport；传递，交流：communicate
conviction	深信，确信：being convinced；证明有罪：proved guilty
convoke	召集开会：bring together
convoluted	复杂的，费解的：complicated
convulsion	痉挛（强烈的、无法控制的肌肉收缩）：involuntary contraction；骚乱：disturbance
coop	监禁，困于…之中：confine
copious	丰富的，大量的：abundant
coquette	调情的女子：flirt；调情，不认真对待：playfully
cordon	警戒线：line preventing；围成一道防线：form cordon
cornucopia	大量：overflowing
coronation	加冕，加冕礼：crowning
corporeal	肉体的：not spiritual；有形的，实体的：not immaterial
corroborate	用证据或权威证实：support with evidence；为…提供证据，支持：provide evidence
corrosive	腐蚀性的：destroy slowly；讽刺性的：sarcastic
corrugated	褶皱的：folds
cosmopolitan	有世界性眼光的，包容的：worldwide
cosset	宠爱：pamper
countenance	容忍：put up with；赞成，推崇：favorable opinion；沉着，冷静：evenness
counterfeit	仿制的，假冒的：imitation；仿制：fraudulent replica；伪装成：false appearance
countermand	取消，撤销：revoke
court	追求，献殷勤：seek affections
covert	隐蔽的，秘密的：not shown；隐秘庇护所：avoid others
covetous	贪婪的，渴求财富的：inordinate desire
cow	恐吓，威胁：frighten
cowardice	懦弱，不坚定：lack courage
cower	畏缩：cringe
cozen	诱骗：mislead
cramped	狭小的，狭窄的：small
crass	粗俗的，愚钝的：unrefined
crave	热望：intense desire
craven	非常懦弱的，因胆小而遭人鄙视的：lacking courage
crease	折痕：folding
credence	坚信：firm brief
credulous	轻信的，易受骗的：gullible
creek	小溪，小河：smaller
