prowess	英勇，勇敢：superior, courage
prowl	潜行于，巡游以猎取食物，徘徊：roam through search of prey
prude	过分正经的人：一个过分关心自己是否得体、谦逊、或正确的人：greatly concerned seemly behavior and morally
prudish	明智的：wisdom, judiciousness, wise；小心谨慎的，审慎的：circumspection
prudent	过分守礼的：prudery
prune	梅干：plum dried；修剪；修正
pry	刺探，打听：inquire closely, curiously；
pseudonym	假名，笔名：fictitious
psychology	心理学：science mental process and behavior；心理战术：subtle tactical action influence
pucker	撇（嘴），（使）收缩：contracted
puckish	淘气的，顽皮的：mischievous, impish
puerile	幼稚的，不成熟的：immature
puissance	权力：power
pulchritude	美丽：beauty
pulverize	将…研磨成粉；将…彻底摧毁：complete end
pun	双关语：humorous
punctilious	注意细节的，一丝不苟的：attentive details
pundit	权威人士，专家：opinions authoritative
pungent	辛辣的，讽刺的：use of wit cause hurt feelings
puny	微小的，弱小的：inferior size, weak
purity	纯净；纯洁，纯在：clean, morally pure
purlieu	常去的地方：socializing；临近的地区：adjoining region
purloin	偷窃：steal
purvey	（大量）供给，供应：supply
pusillanimous	懦弱的，胆小得令人鄙视的：timidity
quack	骗子医生，江湖郎中：pretender
quaff	大口地喝：drink heartily
quail	胆怯，畏缩：fear, cower
qualify	限定：reduce general；使有资格，使有能力：make competent
quandary	困惑，窘境：perplexity, doubt
quarantine	隔离：isolation
quarry	采石场：stone is obtained；目标，猎物：pursuit
quash	镇压，阻止：put a stop to
quaver	发颤音：quivering voice
quell	压制：suppress；使平静，使安静：pacify
quench	熄灭：put out；使满足：put a complete end to
querulous	抱怨的，爱发牢骚的：complaining
quibble	吹毛求疵：criticize, cavil；牵强之词：微不足道的差别或不切中要点的异议，小反对：minor objection
quiescent	平静的，静止的：quiet, inactive
quixotic	不切实际的，空想的：more by ideals than by reality
quota	配额，限额：proportional
quotidian	每日的，平凡的：commonplace
rabble	混乱的人群；暴民；下层群众：disorganized crowd of people
rabid	狂热的，不冷静的：fanatical
racy	活泼生动的：vigorous
raffish	低俗的：crudeness
raffle	垃圾，废物：discarded, useless
rage	暴怒：violent anger
ragged	衣衫褴褛的：threadbare clothes；凹凸不平的，不光滑的：not smooth
rail	猛骂，猛烈抨击：revile or scold
rakish	放荡的，行为不检的：lowered moral character
ramble	漫步，漫游：move aimlessly；漫谈，长篇大论（并经常离题）地说或写：without a topic
rambunctious	喧闹的，骚乱的：noisy
ramshackle	摇摇欲坠的：ready to collapse
rancor	敌意，深仇：ill will
random	随机的，随意的：lacking pattern
rankle	激怒：cause anger
rant	（尤指长时间的）训斥，责骂：angry scolding；怒吼：noisy, angry or violent manner
rapacious	食量大的，贪食的：huge appetite；过度贪婪的：covetous
rapport	和睦，友好：friendly relationship
rapprochement	和睦，友好：cordial relations
rapscallion	流氓，恶棍：evil
rapt	狂喜的，狂热的：pleasurable emotion；全神贯注的：deeply absorbed
rash	使稀薄：make rare
rarefy	草率的，仓促的：lack caution
raspy	声音刺耳的：harsh；容易生气的：easily irritated
ratify	（官方地）认可，批准：official acceptance
ratiocination	推理：thought processes
ration	定额供应量，配给量：amount allotted；按比例分配：share or portion
rational	合乎逻辑的：logical；理性的：based on reasoning
rave	狂热赞扬：exaggerated display of affection；（发疯般的）怒吼：talk as if in delirium
ravel	解开，松开：separate strands；阐明：clarity by separating；使纠缠，使复杂化：tangle
ravish	使陶醉，使沉迷：overcome with emotion
raze	摧毁，粉碎：destroy completely
react	做出反应：in response
reactionary	反对改革的，极保守的：opposition to progress
ream	怒斥，训斥：criticize
reap	收割，收获：receive
reassure	使安心，打消疑虑：restore to confidence
rebuff	严词拒绝：reject
recalcitrant	顽抗的，不顺从的：resistance defiance
recant	撤回，放弃，改变：withdraw a statement
recessive	（基因等）隐性的，由隐性基因控制的：does not produce a characteristic effect when present with a dominant allele；内向的，内敛的：not comfortable around people
recidivate	回到原先的习惯，尤指重新犯罪：return to criminal habits
reciprocate	往复运动：forward and backward；报答，回报：return
reckless	不考虑后果的，大胆鲁莽的：careless
recluse	隐士：lives away；隐居的，不爱社交的：withdrawal from society
recoil	退却，畏缩：shrink back
reconcile	使和解，协调：harmony
recondite	深奥的，难解的：difficult to comprehend
reconnoiter	侦察，勘查：make a preliminary inspection
reconstitute	重建，（尤其是通过加水）使复原：restore by adding water
reconvene	重新集合，重新召集：gather or summon again
rectitude	正直：moral integrity
recumbent	躺着的：lying down
recuperate	恢复（健康或力量），康复：recover health
redolent	芳香的：fragrance
redoubtable	杰出的，值得尊敬的：worthy of respect；可怕的：arousing fear
redundant	多余的，冗余的：exceeding necessary
reel	感到眩晕：from being twirled around；蹒跚地走路：swaying from side to side
