mingle	参加社交活动：social；混合，结合：mix
minimize	将…减到最少：reduce to smallest；刻意低估：underestimate；表示鄙夷：scornfully low opinion
mint	巨额：abundant amount；无损坏的：unmarred
miniscule	极小的：very small
minute	仔细的，谨小慎微的：careful scrutiny；小的，不重要的：of small importance
minutia	次要的细节，小事：minor detail
mirage	海市蜃楼，幻想：illusory
mire	困境：difficult situation；使陷入困境，拖后腿：hold back
mirth	欢乐，欢笑：gladness laughter
misanthropic	反人类：deep distrust of human
misbehaving	调皮的，行为不端的：childish misbehavior
mischievous	调皮的，淘气的：naughty teasing；有害的：causing harm
misconstrue	误解，曲解：mistake
miscreant	恶棍，罪犯：behaves criminally
misdemeanor	轻罪：crime less serious
miserly	吝啬的：penuriousness
misfortune	不幸：bad fortune
misgiving	担忧，忧虑：doubt
mishap	不幸之事：unfortunate
misrepresent	误传，篡改：give misleading representation
mite	微小的东西，很少的钱：small object
mitigate	减轻痛苦，使缓和：less severe
mobile	可移动的：capable moving；可变的：changeable
mockery	鄙视，嘲弄：ridicule；以嘲笑为目的的模仿：derisive imitation
moderate	使缓和：lessen intensify；适度的，中庸的：within limits
modicum	少量：small portion
mollify	平息，抚慰，缓和：calm
mollycoddle	宠爱，溺爱：excessive indulgence
molt	脱（羽、皮等）：shed feathers
momentous	极重要的：utmost importance
momentum	动力；冲力；势头：impetus
mongrel	杂种的，混血儿的：mixed origin
monochromatic	单色的：one color；单调无味的：lacking variety
monologue	独白：by one actor
monotonous	（声音）单调的：unvarying tone；清一色的，无聊的：tediously unvarying
montage	大杂烩：collection
moratorium	延期，暂缓施行：suspension
morbid	疾病的，疾病所致的：by disease；（思想性格）变态的：unwholesome thoughts
mordant	尖酸刻薄的：biting caustic
moribund	即将结束的，垂死的：approaching death；即将过时：obsolete
morose	忧郁的：sullen, gloomy
mosaic	综合物，马赛克般的东西：collection
mosque	清真寺：worship Muslim
moth-eaten	过时的：passed its time
motile	能动的：movement
motivate	刺激，激发：provide incentive
motley	混杂的，富于变化的：variety
mottle	标记上杂色斑点：mark spots
motto	座右铭：guiding principle
mournful	悲伤的：expressing sorrow
movement	运动：moving
muddy	不干净的：not clean；浑浊的，不清晰的：lacking clarity；使难以理解：make unclear
muffle	使消声：deaden the sound
mulish	固执的：obstinate
mumble	说话含糊：utter confused
mundane	尘世的，世俗化的：relating to world；平凡的：commonplaces
munificent	慷慨的：liberal in giving
murky	黯淡的，昏暗的：without light；模糊的，晦涩的：lacking clarity
murmur	小声的话语：low sound；低声抱怨，发牢骚：grumble
mutate	（使）改变，（使）变异：undergo mutation
mute	不说话的，缄默的：refraining from speech；使颜色，音调等柔和：soften；减弱声音：muffle the sound
mutter	低声抱怨：murmur complainingly
myopic	缺乏远见的，缺乏辨别能力的：lack of foresight
myriad	无限的，大量的：indefinite number
nadir	最低点：lowest point
naïve	天真纯朴的：lacking worldly experience
narcissism	自恋：admiration of oneself
nascent	新生的：recently come into existence
natty	整洁的，时髦的：tidy
nauseate	（使）厌恶，（使）作呕：cause disgust
nautical	航海的：on water
naysay	拒绝，否认：oppose, deny
nebulous	模糊的：indistinct
needy	贫穷的：impoverished
nefarious	极坏的，邪恶的：wicked
negation	否定：opposite
negligent	疏忽大意的：failing care
negotiate	商量，谈判：by mutual agreement；谋划：plan out
neophyte	初学者，新手：beginner
nerve	（坚强的）意志，勇气：power of endurance；给予勇气，鼓励：give courage
nettle	惹怒：arouse anger
neutralize	中和：acid undergo neutralization；破坏，使无效：make inoperative or ineffective
nexus	连结：connection；核心，最重要的地带：greatest importance
nibble	小口咬：small bites
nicety	准确，精准：careful details；细微之处：fine point
nil	不存在，零：nothing
nip	少量：small amount；小口吃喝：in small amounts
nitpick	吹毛求疵：criticize
nocturnal	夜间的：in the night；夜间活动的：active at night
noisome	有害的，有毒的：harmful；恶臭的：offensive smell；非常令人厌恶的：objectionable
nomad	游牧的；居无定所的人：no fixed residence
nominal	不重要的：unimportant；名义上的：something in name
nonchalant	冷漠的：indifference
nondescript	平凡的，不吸引人的：lacking distinctive, interesting
nonentity	不重要的人：little consequence；虚构的东西：created no objective reality
nonplus	使迷惑，使困窘：perplex
nonsense	无意义的话，废话：no meaning
notch	刻痕：cut；通过努力获得：obtain
novel	新奇的：new
noxious	有害的，有毒的：harmful, injurious to health；产生强烈厌恶的：causing intense displeasure
