nuance	细微的差异：subtle distinction
nudge	用肘推以引起注意：push elbow；说服某人做某事：persuade
nugatory	无关紧要的：consequence, inconsequential
nurture	提供营养：nourishment；培育，培养：provide with understanding
oath	誓言：formal promise
obdurate	固执的：resistant influences；冷酷无情的：lack of sympathy
obedient	服从的，顺从的：submissive authority
obeisance	敬礼，尊重：respect, submission
obfuscate	使困惑，使模糊：confused, opaque
obligatory	强制性的：compulsory；（见得多以至于）无聊的：dull
obliging	乐于助人的：do favors
oblique	斜的：inclined or twisted
obliterate	除去：remove
oblivious	不知道的，不知情的：lacking awareness, not informed
obloquy	谩骂，诽谤：abusively language；恶名，耻辱：lost the esteem
obscure	含义模糊的：not clearly, veiled, uncertain meaning；平凡的，不知名的：famous；使模糊：indistinct
obsequious	谄媚的，奴性的：fawning attentiveness
obsess	迷住的，使困扰：haunt
obstinate	固执的：in spite of persuasion；难以减轻或治愈的：mot easily subdued
obstreperous	难驾驭的，任性的：unruly；吵闹的：loud and insistent cries
obstruct	妨碍，给…制造困难：impede, create difficulty；阻挡：prevent passage
obtuse	愚钝的：absorb ideas readily
obviate	排除，使不必要：unnecessary
occult	难以理解的：not easily apprehended, mysterious；使隐藏或神秘：keep secret
odium	憎恶，讨厌：strong dislike
offbeat	不平常的：different from generally found
offhand	即兴的，没有准备的：without preparation
officious	多管闲事的：thrusting oneself
offish	冷淡的：aloof
off-key	不寻常的，不合适的：out of accord with
ominous	凶兆的：omen, evil
omniscient	无所不知的：complete knowledge
onerous	费时间花心思的：requiring much time, effort
opaque	不透光的：impenetrable by light, neither transparent translucent；晦涩的：obscure
opine	表达观点；想，认为：express opinions
opportune	合适的，恰当的：convenient
opprobrious	辱骂的：reproach；臭名昭著的，令人鄙视的：infamous
oration	（颇有野心、自高自大的）演说：high-flown or pompous manner
orient	使确定方向，使熟悉或适应：determine position, make familiar
original	创新的：creative, inventive；最初的，最早的：before
orthodox	传统的：established form, custom, or rules
oscillate	振动，摇晃：swing；犹豫，变化：vary
ossify	（使）硬化，（使）僵化：hardened, conventional, opposed to change
ostentatious	卖弄炫耀的：conspicuous, pretentious
ostracize	驱逐：exclude
oust	免职：remove from；驱逐：drive out
outgoing	友好的，外向的：extroverted
outlandish	古怪的，奇异的：out of the ordinary, bizarre
outmaneuver	以谋略取胜：overcome
outset	开端，开始：beginning
outwit	瞒骗，以智取胜：surpass cunning
overbearing	专横傲慢的：arrogant；压倒一切的，（在力量或重要性上）势不可挡的；支配的，显著的：overwhelming in power
overlap	（与…）部分重叠：same area
overt	明显的，公开的：open
overture	前言：introductory, preclude；序曲：introduction opera
oxymoron	矛盾修饰法：combination contradictory
pacify	使平静，安慰：ease the anger
padding	夸张，废话：go beyond the facts
paean	欢乐颂：joyous song praise
painstaking	煞费苦心的：diligent care
palatable	感到愉悦满足的：pleasure or contentment
palatial	宫殿般奢华的：ornateness
pall	失去兴趣：interest attraction
palliate	平息，减轻：less severe intense
pallid	无生气的，缺乏活力的：lacking radiance vitality；苍白无血色的：pale
palmy	繁荣的：prosperity
palpable	摸得到的：capable touched；明显的，易觉察的：obvious
palter	欺骗，讨价还价：insincerely deceitfully
paltry	无价值的，微不足道的：importance；让人厌恶的，让人鄙视的：loathing and disgust
pan	严厉批评：harsh criticism
panache	炫耀：flamboyance
pandemic	大范围流行的：widespread
pandemonium	喧嚣，骚动：noise
panegyric	赞颂之词，颂文：eulogistic
panoramic	全景的：complete view
parable	寓言：teach a basic truth
paradigm	典范，模范：pattern
paradise	天堂，极乐世界：perfection and happiness；快乐，狂喜：pleasurable emotion
paradox	表面矛盾实际可能正确的话，悖论：opposed to commonsense
paragon	优秀模范：example；把…比作，显示相似：compare
paramount	最重要的：chief importance
paranoid	多疑的，对他人极端恐惧和怀疑的：extreme fear of distrust
paraphrase	转述，意译，改写；in different words
parch	炽，烤，烤干：dry
parenthesis	间断：interruption
pariah	被排斥或鄙视的人：despised or rejected
parity	相称，同等，平等：being equal
parody	（以嘲笑原作作者的）模仿作品：imitated for ridicule；模仿（以嘲弄）：copy to make fun
paroxysm	（感情、动作的）突发：outburst；（政治、社会领域呃）大动荡：disturbance
parrot	（机械地）模仿，复制：imitate without understanding
parry	躲避（问题）：evade
parsimonious	过度节俭的，吝啬的：stinginess
partial	偏袒的，偏爱的：biased；部分的，不完整的：lacking
particularize	详述：give details
partisan	跟随者，信徒：follows；（狂热。坚定的）拥护者，支持者：excessively devoted；偏袒的：one side
pastiche	（带嘲讽的）模仿：imitates with satirical intent；大杂烩：hodgepodge
partition	分割，划分：dividing
patent	显而易见的，明显的：readily visible
pathological	不正常的，病态的：markedly abnormal
patina	外表：superficial；（由内而外散发的）氛围，气场：appearance or aura
