interminable	无尽头的：no end
intermittent	间歇的，断断续续的：not continuous；不定期的：lacking regularity
interregnum	过渡期：break
interrogate	质问，审问：question formally
intimate	有紧密联系的，亲密无间的：close association；不为人知的：not known；密友：person who has a strong liking；迂回地交流，间接地沟通：communicate indirectly
intimidate	威吓：frighten
intoxicant	使人陶醉的东西（尤指酒精饮料）：intoxicates
intransigent	不妥协的，固执的：refusal to compromise
intrepid	无谓的：resolute fearlessness
intrigue	阴谋：a secret plan；激起…的兴趣：arouse curiosity
intrinsic	固有的，内在的：essential
intuitive	直觉的：by intuition
inundate	淹没：cover with flood
inure	使习惯接受不好的东西：accustom；使坚强：withstand physical hardship
invective	侮辱性的：characterized by insult
inveigh	激烈抗议，表示强烈不满：protest vehemently
inveigle	诱骗：win over by coaxing
inventory	存货清单：list all goods；（包含要点的）简介：short statement
inveterate	积习的：firmly established
invidious	惹人反感的：cause discontent；羡慕嫉妒恨的：resentment of another’s possessions
invigorate	使精神，使强壮，鼓舞激励：impart vigor
invincible	不可战胜的，不可超越的：incapable conquered
invoke	实施：put into effect；产生，造成：be the cause
irascible	易怒的：easily provoked anger
irate	极其愤怒的：extremely angry
iridescent	五颜六色的：lustrous colors
irk	令人烦恼的事物：source of irritation；使烦恼，使厌倦：irritating
ironclad	非常坚固的，坚不可摧的：unbreakable
irradicable	不能根除的：impossible destroy
irreducible	（数）不可约分的：incapable factored
irrigate	灌溉：supply water；冲洗：flush
irritate	刺激，惹恼：provoke anger
issue	（有争议的）话题，议题：matter that is in dispute；发布（期刊）等：produce and release；（使）流出：flow out
jabber	快而不清楚地说：talk rapidly, indistinctly
jaded	疲惫的：depleted in strength；厌倦的，没兴趣没热情的：patience exhausted
jape	嘲弄：mockingly
jargon	行业术语：specialized or technical language
jarring	刺耳的：discordant；震惊的：strong emotional reaction
jaundice	（因嫉妒或厌世而产生的）偏见：bias
jaunty	轻快的，活泼的：sprightly
jejune	无趣乏味的：not interesting；幼稚的：annoying qualities children
jettison	放弃，拒绝接受（想法、计划等）：get rid of
jeopardy	危险：risk, danger
jest	轻浮的态度，戏谑：frivolous
jibe	意见一致：agree
jingoist	极端爱国激进分子（通常表现为好战的对外政策）：extreme nationalism belligerent
jitters	紧张，不安：panic, nervousness
jocular	搞笑的，欢乐的：joking, playful
jocund	欢快的，高兴的：sprightly lighthearted
jog	慢跑：movement exercise；唤起：rouse
jolt	突然移动：move sudden；惊吓：unpleasant surprise
jot	简要记录：write briefly
jovial	愉快的：good-mannered, jollity, conviviality
jubilant	喜悦的：joyful
judicious	明智的，慎重的：judgment prudent
juggernaut	无法阻挡的力量的，摧毁一切的强大力量：overwhelming force
ken	视野范围：vision；知道，了解（人或物）：know
kidnap	绑架勒索：detain unlawful force
kindle	点燃：set fire, ignite
kindred	类似的；具有相似或相近的起源、本性或性质的：similar origin
knack	诀窍，聪明的做法：clever
knead	揉捏，塑造：shape by folding
knit	编织（纱线）：interlacing yarn with needles；连接，联系：join closely
knotty	多结的，复杂的，困难的：full of difficulties complications
kudos	名望，名声：fame；夸奖，赞扬：acclaim or praise
labile	易变的，不稳定的：unstable
laborious	勤奋的：industrious；费力的：long, hard work
labyrinthine	迷宫似的，复杂曲折的：extremely complex structure
lacerate	使非常痛苦：cause pain
lackluster	黯淡无光泽的：lacking brightness
laconic	简洁（以至于显得粗鲁或难以理解的）：minimum of words, concise
lachrymose	催人泪下的，悲伤的：mournful
lambaste	严厉斥责：scold sharply
lament	悼词：composition grief；抱怨：resentment；为…哀悼，表达痛苦或遗憾：express sorrow
lamentable	值得惋惜的，悲哀的：deplorable
lampoon	讽刺：harsh satire
languid	没精打采的，虚弱的：lacking energy
languish	变得衰弱：become feeble
languor	懒惰：inertness；衰弱：weakness, weariness
lank	细长瘦弱的：long lean；不僵硬的，柔软松弛的：limp, not stiff
lapse	小过失：slight error；结束，终止：end
largesse	捐赠物：without expectation of a return；慷慨：liberality
lash	击打：hard strike；猛击，撞击：strike with force；捆扎：bind
lassitude	乏力，没精打采：diminished energy
latent	潜在的，不活跃的：potential, not evident
latitude	（行动或言论）自由：freedom
laudatory	表示赞扬的：praise
lavish	奢侈的，大量的，无节制的：extravagance and profusion；挥霍，浪费：give readily carelessly
leaven	在…中加入轻松、活泼或变更的因素：mingle permeate
leer	一瞥，斜眼看：sidelong
leery	怀疑的，不信任的：suspicious
legacy	遗产：handed down ancestor
legend	传奇，传说：popular myth；图例：explanatory list map
legion	大量的人，（尤指）军团：large body of men；大量的：numerous
lenient	宽大仁慈的：merciful
lethal	非常有害的，致命的：extremely harmful
lethargic	没精打采的，行动迟缓的：sluggish
levelheaded	明智的：sensible
levity	轻浮：frivolity
liability	责任：liable；障碍，不利条件：creates difficulty
