ponderable	有价值的，值得考虑的：considerable
ponderous	沉重的：great weight；沉闷无聊的：unpleasantly dull
pontificate	傲慢地说或做：speak pompous
pore	仔细浏览，仔细研究：read or study attentively
porous	多孔可渗透的：admitting liquid
portentous	预兆性的，凶兆的：sign of evil；勾起兴趣的，令人遐想的：eliciting amazement
poseur	故作姿态的，不真诚的人：affected insincere
posit	假定，断定：affirm
postulate	前提条件：starting point；假定为真：assume true
posture	姿势，姿态：way of holding the body；故作姿态，装模作样：pretended attitude
potable	饮品，尤指有酒精饮料：beverage；适于饮用的：suitable for drinking
potentate	有权势的人：has the power
potentiate	激活，加强：more active
pout	（尤指撅嘴或板着脸）表示不悦：show displeasure
practitioner	职业人士：profession
prairie	大草原：treeless grassland
prate	闲聊，空谈：talk idly
preach	传道，布道：sermon
precarious	危险的，不稳定的：lacking security, stability；可疑的，不明确的：uncertain
precedent	先例，前例：earlier occurrence；先前的：prior
precipice	悬崖峭壁：steep
precipitate	匆忙的：careless speed；促使，导致：cause to happen
precipitation	沉积物，尤指降水：deposit, rain, snow；仓促：disorderly speed
precipitous	非常陡峭的：steep；匆忙的：careless speed
preclude	预先阻止：make impossible in advance；排斥：exclude
precursor	先驱者，先导：precedes
predecessor	前任，先辈：previously occupied
predilection	爱好，偏袒：disposition favor
preeminent	优秀的，重要的：paramount
preempt	预先占有：seize, before others；替换：replace
preen	整理（羽毛）：smooth feathers；打扮修饰：dress oneself elaborate；自满：take pride
preface	序言：preliminary statement
pregnant	重要的，意味深长的：full of meaning；怀孕的：containing offspring
premeditate	预先考虑：consider beforehand
preoccupation	非常关系，全神贯注：extreme concern
preponderant	占优势的，更重要的：superior importance
prepossessing	给人好感的，有魅力的：impress favorably
preposterous	荒谬的，不符合常理的：contrary common sense
presage	征兆：sign or warning；预示，预言：predict
prescience	预知，先见：knowledge before
prescription	规定，传统的规矩：rule
preservative	防腐剂：protect against decay
prestige	声望，威望：respect
presumptuous	放肆的，冒昧的：overstepping bounds；傲慢的：feeling of superiority
pretense	虚假，伪装：pretending deceive；自大，优越感：exaggerated sense of one’s importance
preternatural	超乎寻常：surpassing usual
prevail	盛行，战胜：greater in strength
prevalent	流行的，普遍的：commonly accepted
prevaricate	支吾其词，撒谎：evade truth
primordial	原始的，最初的：happening first
primp	精心打扮：adorn finicky
principal	主要的，重要的：highest importance, rank
pristine	纯净的，质朴的，未被文明腐蚀的：pure, free from dirt or decay
privation	缺乏，穷困：lack
probe	深入调查：penetrating investigation
probity	正直：moral standards
proclivity	癖性，爱好：inclination
procrastinate	（因为懒散）拖延：put off laziness
procure	获得，取得：get possession
prod	促使…行动：persuade
prodigal	挥霍的：spendthrift；败家子：spends freely
prodigious	巨大的：great in size；惊人的，了不起的：astonishment
profane	亵渎：treat abuse, irreverence, contempt；滥用：bad or improper use
proffer	献出，提供：offer
proficient	熟练的，精通的：advanced competence
profligate	挥金如土的，挥霍的：wasteful；败家子：spends money freely；堕落的人：below the normal moral standard
profundity	深奥，深刻：abstruse
profusion	丰富，大量：abundance；挥霍，浪费：wasteful
prohibitive	禁止的，阻止的：prohibit, restrain；（价格高得）抑制购买的：purchase
proliferate	快速繁殖；激增：grow or multiply by rapidly offspring
prolix	啰嗦的，冗长的：excessive length
prologue	序言：preface
prolong	延长，拖延：lengthen
proofread	正式宣布：make known
promulgate	校对：find errors and mark corrections
propagate	繁殖：increase；传播，宣传：spread out
propensity	倾向，癖好：inclination
prophetic	预言的，预示的：foretelling
propitiate	抚慰，劝解：appease
propitious	吉祥的：favorably happy outcome
proponent	建议者，支持者：support
propriety	礼节：conformity socially acceptable；适当，得体：suitable or fitting
prosaic	单调的，常见的：normal course of events
proscribe	禁止，排斥：forbid
prosecution	实行，执行：doing
proselytize	（使）改变信仰：change religious faith
prospect	探查，勘探：go into discovery；期待，期望的事物：looking forward to
prosperous	成功的，繁盛的：vigorous growth, well-being
prostrate	平躺（的），使平躺：lying flat；衰弱的，使衰竭：weakness
protean	善变的；多才多艺的：diversity, variety, versatile
protocol	正确的礼仪规范：correct conduct
protract	延长，拖长：lengthen, prolong
protrude	突出：project
protuberant	隆起的，凸出的：thrusting out
provident	节俭的：frugal, economical；有远见的：awareness for the future
providential	天意的，幸运（的）：divine intervention
provincial	狭隘（的）：limited perspective
provisional	临时的：temporary
provisory	有附带条件的；临时的：conditional
provoke	激怒：incite anger；驱使，激起：stir feeling
