complicate	使复杂化：complex or difficult
comprehend	理解，了解：grasp；包括，包含：contain or hold within
concrete	实体的，实在的：matter；事实性的，明确的：in fact
condemn	谴责（…为不道德的、邪恶的）：declare to be reprehensible, wrong, or evil
conditional	有条件的，受制约的：dependent
conflagration	大火：large destructive fire；武装冲突：armed violent struggle
conflate	混合：turn into a single mass
conform	使协调：bring into harmony；调整（以适应）：change to make it suitable；遵照，遵从：obedient, compliant
conjure	请求，恳求：entreat earnestly；在脑海中浮现，想起：form a mental picture
consent	同意：approval
consign	转交，转移（给他人）：control of another
consternation	惊愕，恐慌，恐惧：paralyzing dismay
constrict	压缩，压紧：binding or squeezing
contemplate	沉思，仔细考虑：consider
contempt	蔑视，鄙视：unworthy of one's concern or respect
contend	竞争，争夺：strive or vie in contest；声明，声称：state as a fact
contradict	否认，反驳；与…相矛盾：contrary
contrived	不自然的，刻意的：lacking spontaneous quality
convene	召开，召集：bring together in assembly；聚集，集合：come together
correlate	使…相关联：mutual or reciprocal relation
counterpart	（地位、功能）对等的人或物：same function or characteristics
counterproductive	反效果的，阻碍预期目标的：not producing desired goal
courteous	礼貌的，谦恭有礼的：polished manners
coy	故作羞涩的：flirtatiously shy or modest；不愿与人交往的，内向的：tending to avoid people
credible	可信，值得信赖的：worthy of being accepted
credit	信任，信赖：mental conviction of the truth；表扬，赞扬：acknowledgment or admiration
crow	感到高兴：joy or triumph；自鸣得意：pride in one's own possessions
damn	（在道德上）谴责：morally wrong or evil；非常地，极其地：great degree
dampen	（特指稍稍地）弄湿：wet；抑制，压抑（感情、精力等），泼冷水：diminish the feeling, activity or vigor
dashing	爱好冒险的，大胆的：take risks
dated	过时的：passed its time of use
deadlock	僵局：a state of inaction or neutralization；使陷入僵局，使停顿：to a deadlock
debonair	无忧无虑，不在乎的：freedom from worries or troubles；风度翩翩的：polished and worldly manners
decadent	堕落的，腐败的：lowered moral character；放纵的人：devoted to luxury and sensual pleasures；道德上堕落的人：moral decay
decry	强烈反对，否定：strong disapproval
deflect	使偏斜，使转向：turn aside from a straight course
defray	支付：undertake the payment
deign	（不情愿地）屈尊，俯就：condescend reluctantly
delegate	代理人，代表：representative for another；移交（权力，任务等）：possession or safekeeping of another
delineate	勾勒，用线条描绘：by drawn or painted lines；描写，描绘：describe, portray
demote	降职，降级：a lower grade
dependable	可靠的，值得信赖的：depended on
deplorable	可鄙的，可耻的：condemnation or reproach；悲惨的，可悲的：cause great distress
desperate	绝望的：no hope
dichotomy	一分为二，分割：division into two
dictate	指令，命令：command；（仗着地位，权力）下令：request
dike	堤坝，水坝：control or confine water；水沟，水渠：long narrow channel
discreet	（言行）谨慎的：good judgment and restraint；不易察觉的：not readily seen or noticed
disenchant	使清醒：free from illusion
dishearten	使沮丧，使失去信心：lose spirit or morale
disjunctive	分离的：breaks or disunity
disprove	反驳，证明为假：prove to be false
distinctive	完全不同的：not of the same kind；特征性的，典型的：serving to identify
doctrinaire	教条主义的，照本宣科的：strongly held opinions
domineer	专制统治：overbearing control
drab	单调的，无聊的：dullness and monotony
dramatic	显著的，惹人注意的：striking
dread	恐惧：fear
duplicate	复制品：exactly alike；复制：make a copy；重复，反复：do over or again
dynamic	有力量的，有活力的：productive activity
eclectic	混合的，多元化的：from various sources
efficacious	有效的：produce a desired effect
elude	躲闪，躲避：avoid adroitly；使无法理解，使困惑：escape the perception
enamored	迷恋的，热爱的：intense or excessive love
endeavor	努力，奋斗：conscientious or concerted effort；努力做，拼搏：devote serious and sustained effort
enthrall	（像用魔咒般）吸引：hold the attention
equilibrium	均势，平衡：opposing forces are equal；（感情上的）平静：evenness of emotions
erroneous	错误的，不正确的：containing error
escort	护卫队，护送者：accompanying another；同行，护送：go along with
ethos	道德准则：code of good conduct
exorcise	除去：get rid of
explicate	解释，说明：detailed explanation
exterminate	根除，消灭：killing off
extrapolate	（通过逻辑）判断：form an opinion through reasoning
fabulous	传说中的：fable；幻想中的，不真实的：in the imagination；令人惊讶的，令人称奇的：causing wonder；极好的：extremely pleasing
fad	（短暂的）流行，时尚：popular for a short time
fallible	可能出错的：erroneous
fanciful	幻想中的：不真实的：in the imagination；不切实际的，荒谬的：without regard for reason
favoritism	偏爱，偏袒：special favor
featureless	缺乏特征的：lacking distinguishing characteristics
feisty	好斗的，好争论的：aggressiveness
felony	重罪：grave crimes
ferocious	极端的，剧烈的：unrelenting intensify；激烈的，爆发性的：bursts of destructive force；凶猛的，残暴的：unfriendly or aggressive
fervent	充满感情的，热情洋溢的：great intensity of feeling
figment	虚构的事物，幻觉：made up
fitful	无规律的，缺乏周期的：erratic or intermittent
fleeting	稍纵即逝的，短暂的：for short time
forage	寻找：search
forebode	预示，预兆：show signs
foreground	强调，重视：indicate the importance
forfeit	罚金：punishment
forsake	彻底放弃，抛弃：renounce
frosty	寒冷的：low temperature；无强烈情感的，冷淡的：lacking in friendliness or warmth
gawky	（举止）笨拙的：inability to move in a graceful manner
germinate	发芽：begin to grow；出现：come into being
glacial	极冷的：extremely cold；冷漠的，无感情的：devoid of warmth
glide	轻松地行动，轻松地通过：smoothly, continuously, effortlessly
glower	怒目而视：stare with anger
graft	移植，移接：implant surgically
grit	（面对困难时所表现出来的）毅力：endure pain or hardship
