spent	精疲力竭的：drained of energy
spindly	细长纤弱的：frail or flimsy
spiny	多刺的：spines；棘手的，麻烦的：requiring exceptional skill
spleen	怒气，怨恨：anger or ill will
splice	接合，叠接：unite
spontaneous	自发的，不经思索的：without apparent thought
spoof	轻松幽默的模仿，小恶搞：exaggerates for comic effect；诱骗，诱使相信：believe what is true
sporadic	偶尔的，零星发生的：not often occurring
sprawl	杂乱无序地发展；蔓生，蔓延：irregularly
sprightly	活泼的，充满活力的：full of vitality
spur	刺激物：arouses action；支撑物：holds up；刺激，激励：incite
spurious	假的，伪造的：lacking authenticity
spurn	摒弃，拒绝：reject with disdain
squabble	口角，小争吵：quarrel
squalid	污秽的，肮脏的：dirty；道德败坏的：repulsive
squall	（通常伴随雨或雪的）风暴，暴风雪，暴风雨：violent windstorm；尖叫：scream
squander	使分散：apart；浪费：spend wastefully
squat	又矮又胖的：broad in build, short in stature
squint	斜视，睥睨：glances sideways
squelch	压制，镇压（运动）：stop by force；击溃，使无言以对：put down or silence
stabilize	使稳定；变得稳定：make or become stable
stalwart	无所畏惧的：no fear；（体魄等）强健的：strength vigor；坚定的：firm, resolute
stamina	耐力：moral strength
stammer	口吃，结巴：speak with pauses
startle	使吓一跳，使大吃一惊：frighten or surprise
static	静态的；停滞的：lack of movement；无改变的：little change
stature	高度，身高：height；才干，水平：quality, status
steadfast	坚定的，忠诚的：firm in belief
stealth	秘密行动：proceeding furtively；秘密的：not to attract attention
steep	浸泡：make wet；陡峭的：approaching perpendicular；过分的，过高的：beyond limit
stench	臭气，恶臭：foul odor
stentorian	声音洪亮的：loud
sterile	贫瘠的：not productive；无菌的：free from bacteria
stickler	坚持细节的人，一丝不苟的人：insist on exactness
stiff	僵硬的，无法弯曲的：lacking suppleness；（在社交场合）缺乏优雅的，不自在的：lacking social grace；过分的，过高的：beyond limit；艰苦的，费力的：requiring effort
stifle	抑制（声音、呼吸等）；阻止，扼杀：hold back
stigma	耻辱，污名：mark of shame
stint	吝惜，节省：be frugal
stingy	小气的，吝啬的：unwilling；极少量的：less plentiful
stipple	（雕刻时）点刻，用点标记：mark with small spots
stipulate	规定，特定要求：specify agreement
stitch	突然剧痛：sharp unpleasant sensation
stock	库存，储备：inventory；普通的，常备的：commonly used
stockade	栅栏，围栏：enclosure；监狱：confinement
stodgy	平庸的，乏味的：dull；非常守旧的：old-fashioned
stoke	添加燃料：supply fuel；增大，促进：make greater
stoic	隐忍的，冷静的：unaffected by pleasure or pain
stolid	无动于衷的，感情麻木的：little emotion
stomach	容忍：bear
stonewall	拒绝（合作），阻挠：uncooperative, obstructive
stouthearted	勇敢的：stout, spirit
stratagem	谋略，策略：deceiving
strait	海峡：channel joining water；痛苦：suffering
strand	绳，线之一股：single filament；遗弃，使置之困境：leave in a unfavorable place
stratify	将…分成各种等级：divide into classes
stray	漫无目的：lacking purpose；离群，迷途，偏离：move away, deviate
strength	力量：ability to exert effort；（抵抗攻击、压力的）强度：ability to withstand force
striate	加条纹：mark with striations
stricture	责难，批评：criticism
stride	迈大步走：long steps
strident	刺耳的：harsh sound
strike	攻击：force or violence；铸造（奖牌）：form by stamping；击打：deliver a blow；袭击，攻击：violent action；撞击：forceful contact
stringent	紧绷的：tight；严格的：marked by rigor
strip	脱衣，剥去：remove clothing
strut	趾高气昂地走：walk pompous；支柱，压杆strengthen a framework
studio	工作室，画室，摄影室：working place of a painter
stultify	使无效，抑制：render futile
stupor	迟钝，麻痹，无知觉：suspended sense
stunt	阻碍（成长）：hinder growth
sturdy	强健的，结实的：strengthen
stygian	极阴暗的：extremely dark
stymie	阻碍：present an obstacle
subdue	使顺从；征服：conquer
subject	臣民，受支配的人：under authority；取决于（其他因素）的：under the influence
subjugate	征服，镇压：bring under control；剥夺…的自由：make subservient
sublime	崇高的，庄严的：high moral；（因为杰出、尊贵、美丽等而）令人惊叹的：inspire awe
subliminal	下意识的，潜在意识的：below perception
submerge	使淹没：under water
submissive	服从的，顺从的，恭顺的：submitting
subordinate	下级的，次要的：lower rank；征服：under one's control
subservient	奉承的，屈从的：obsequiously
subside	下陷，下沉，减弱：tend downward
subsidiary	次要的：secondary importance；起辅助作用的：aid, support
subsidy	补助金，津贴：monetary support
substantial	物质的：having substance；有重大意义的：considerable in importance
substantiate	证实：support with proof；使实体化：give material
substantive	本质的，关键的：relating to the essence
subterfuge	诡计：deception to conceal
subtle	微妙的，难以感知的：difficult perceive；巧妙的，间接或带有欺骗性的：clever deceptive means
subvert	颠覆：overturn
succinct	简明的，简洁的：clear, precise
succor	救援，援助：aid
suffocate	使窒息：deprive of oxygen
suffuse	（色彩等）弥漫，染遍，充满：spread through
sulk	生气，愠怒：resentment
sullen	闷闷不乐的：lacking in cheer
summary	摘要：abstract；就地的，立即的：on the spot
summit	顶点：highest point
summon	召集，召唤：call together；传唤（出庭、出席）：command to appear in court
sumptuous	豪华的，奢侈的：extremely luxurious
