patrician	贵族，名门望族：high birth；贵族的，地位高的：high birth
patriot	爱国者：loves country
patronize	赞助：provide aid；以高人一等的态度对待：treat haughtily
paucity	少量，缺乏：dearth
paunchy	大腹便便的，大肚子的：potbelly
peck	大量：considerable amount；（不情愿地）小口咬：in small bites
pedagogue	教育者，老师：give formal instruction
pedant	书呆子，墨守成规之人：formal rules
predestine	预先注定：in advance
pedestrian	行人：traveling on foot；平庸无奇的，令人厌倦的：causing weariness
peep	一瞥：brief look；轻声：slight sound
peer	同等地位的人，同辈：equal；好奇地凝视：look
peeve	打扰，惹恼：disturb
pejorative	轻蔑的，贬低的：disparaging
pellucid	透明的：admitting light；清晰明确的，易懂的：clear
pen	监狱：confinement；关押，监禁：close
penalty	（对罪行的）处罚：punishment
penchant	嗜好，迷恋：strong inclination
penitent	悔过的：regretful
pensive	沉思的，（尤指）哀思的：thinking
penury	贫穷：dearth；吝啬，节俭：frugality
perambulate	徒步穿越，走过：travel over
perceptible	可察觉的：being perceived
peremptory	不容反抗的：not allowing contradiction；爱发号施令的：ordering people；傲慢的：feeling of superiority
perfervid	非常热情的：exaggerated emotion
perfidy	不忠，背信弃义：disloyalty
perforate	打孔，穿透：make a hole
perfunctory	例行公事的，敷衍的：superficially；不感兴趣的：lacking in interest
perimeter	边界，界限：outer limit
periodical	期刊：publication；周期性的，有固定间隔的：regular intervals
peripatetic	巡游的，四处游历的：place to place
peripheral	外围的：boundary or periphery；辅助性的：supply
perish	死亡，消亡：cease to exist
permanent	永恒的：continuing or enduring, forever
permeable	可渗透的：penetrated
pernicious	有害的：injurious
peroration	（演讲的）结束语：concluding part；（正式的）演讲，致辞：formal discourse
perpetual	永恒的，不断的：continuing forever
persecute	迫害，折磨：cause suffering
persevere	坚持不懈，不屈不挠：persist
persiflage	打趣：teasing
persistence	坚持，持续：lasting existence
personable	风度翩翩的，吸引人的：attractive
perspicacious	极敏锐的，有洞察力的：penetrating mental discernment
perspicuity	清晰明了的：clearness and lucidity
pertain	有关联的：have a relation
pertinacious	顽固的，固执地坚持的：sticking
pertinent	相关的，恰当的：relevance
perturb	使扰乱，使烦躁不安：trouble the mind
peruse	细读：examine with great care
pervade	弥漫，充满：throughout
pessimistic	悲观的：take the gloomiest possible view
petition	请愿，正式的申请，申请书：supplication or request；（尤指正式地）请求：,make a request
petrify	使僵化，使失去活力：become stiff
petty	细微的，不重要的：small importance
phenomenal	不寻常的，非凡的：out of the ordinary
philanthropic	博爱的，为他人着想的：welfare of others
philistine	市侩（注重物质而鄙视智慧或艺术的人）：guided by materialism
phlegmatic	冷静的，无感情的，淡漠的：calm, sluggish temperament
piddling	微不足道的：trifling or trivial
piebald	杂色的：different colors；混合的，杂糅而成的：different sorts
pigment	颜料：color；给…上颜色：color
pilfer	偷窃：steal
pillar	柱子：support；（物质、精神等方面的）支柱：support
pillory	当众嘲弄：public contempt
pilot	领航员，飞行员：steer a ship；初步性的，试验性的：tentative model；带领通过：lead
pine	渴望，奢望：yearn；因渴望而憔悴：lose vigor
pinnacle	顶峰：highest point
pinpoint	非常精确的：extreme precision；精确定位或确认：identify with precision
piquant	辛辣开胃的：pungent taste；令人振奋的：provocative
pique	使愤怒：arouse anger；激起，刺激：excite or arouse
pirate	盗版，盗用：without actual right；海岛：robber seas
pithy	精练的，简洁的：brief
pitiless	没有同情心的：devoid of pity
pittance	少量津贴：small portion
placate	（通过让步以）平息抚慰：lessen the anger
placebo	安慰性的事物：used to appease or reassure
plagiarize	剽窃，抄袭：steal ideas
plangent	轰鸣的：loud sound；凄凉的，哀伤的：plaintive
plastic	可塑的：modified；虚假的，做作的：lacking in natural
plateau	高原：raised above；稳定时期，平台期：stable level
platitude	陈词滥调：banal statement；缺乏原创性：lack of originality
plausible	看似有理的：superficially reasonable
pleat	打褶：fold
plentitude	大量：ample amount
plethora	过量，过剩：excess
pliable	易弯曲的，柔软的：supple；易受影响的，温顺的：easily influenced
pliant	易弯曲的：easily bent；顺从的：yielding
plight	困境：unfortunate
plod	沉重缓慢地走：walk heavily
pluck	敢于面对困难的勇气：courage；弹奏（弦乐）：strings pulling releasing
plumb	测深度：measure the depth；垂直的：vertical；仔细深入地检查；探索，探究：examine deeply
plummet	突然下降：decline suddenly
plump	丰满的：well-around；鼎力支持，赞不绝口：give full support
plunge	突然下降：descend suddenly；插入，刺入：penetrate
polarize	使分开对立，使两极分化：break into opposing
polemic	争执：argument
polished	有教养的：high degree of refinement；擦亮的：shiny
politic	精明能干的：shrewdness；合时宜的，明智的：suitable
pompous	浮夸的：ornate；傲慢的：self-importance
