renege	放弃，摒弃：formally reject
replenish	补充：fill again
replicate	复制，复刻：make an exact likeness；重复，反复：do again
residual	剩余的，残存的：residue
restitution	补偿，赔偿：for some injury
resurrect	使重生，使复苏：bring back to life
retentive	记性好的：retain knowledge or information
retrieve	寻回，找回：get back again
reverberate	回荡，回响：continue or be repeated sound waves
rhetorical	语言上的，文字上的：words or language；言辞华丽（却往往无内涵）的：fancy but meaningless
rigmarole	混乱而无意义的话：confused or meaningless talk
ruthless	没有怜悯心的，残忍的：no pity
sacrosanct	极为神圣的，不可侵犯的：most sacred
scourge	祸害：source of harm
screen	掩护物，屏障：shelters, protects, or hides；保护，使…免受攻击：drive attack away；掩护，遮蔽：shut off from view
scrimp	节俭：avoid waste
scruple	（良心上的）不安：uneasy feeling about the rightness
secede	脱离，拖出（组织、团体、联盟等）：withdraw from an organization
sectarianism	宗派主义，顽固：adherence prejudices
secular	世俗的，尘世的：worldly or temporal
sequel	结果：result
shift	改变…的位置：change position；改变，变化：pass from；交换：in return
shifty	（显得）狡诈的，（显得）欺诈的：deceitful character
simile	明喻：comparing two unlike things
skittish	容易受到惊吓的，胆小的：easily frightened；容易激动的：easily excited；善变的，多变的：likely to change
sparing	节俭的，节约的：careful restraint；不足的，缺乏的：less plentiful
splinter	尖细条，刺：sharp, slender piece；将…切成细条：break into sharp, slender pieces
splutter	急切而不清楚地说：hastily and incoherently
squeamish	恶心的，晕船的：nausea
stasis	平衡，停滞：balance
staunch	忠诚的，坚定的：steadfast in loyalty
stereotype	成见，老套的理念：conventional, formulaic, and oversimplified opinion
stigmatize	使蒙上污名：disgraceful or ignominious
substitute	取代者，替代品：takes the place of another；取代，替代：take the place of
succumb	屈服：yield to superior strength；死亡：death
supersede	取代，替代：displace
surly	脾气不好的：churlish in mood
surmise	（根据不足的）推测，揣测：based on scantly evidence
surmount	战胜，获得胜利：achieve a victory
surpass	超越，强于：become better；突破（界限、纪录等）：beyond the limit
surrogate	替代品：takes the place
surveillance	监视，监控：close observation
tame	被驯化的：reduced from a state of native wildness；无聊的，乏味的：lacking spirit；控制，抑制：keep from exceeding
tangle	困惑，不解：perplexity；纠缠，使…纠结：in a snare
teeming	大量的：great numbers
temporal	世俗的，尘世的：earthly life
tentative	暂时性的，尝试的：not fully developed
thick-skinned	冷漠无情的，不顾他人感受的：unaffected
thrill	强烈的兴奋感，快感：pleasurably intense stimulate；使兴奋，使激动：excitement
timely	及时的，无拖延的：without delay；恰到好处的，合乎时宜的：appropriate
topsy-turvy	混乱的，不整洁的：lacking in order, neatness
trifle	不重要的事：little importance or value；不正经地对待，玩弄：without serious intent
trifling	细微的，不重要的：lacking in significance
tycoon	大亨，巨头：person of rank, power, influence
tyrant	暴君：oppressively or brutally
umbrage	不悦，生气：feeling of being offended or resentful
unanimous	一致同意的：consent of all
unavailing	徒劳的，无果的：producing no results
unremitting	连续不断的：without any interruptions
versed	熟知的：having information；精通的：exceptional knowledge
vile	丑陋的：unpleasant to look at；（道德上）可鄙的，卑鄙的：morally despicable
vocation	职业：employed
vouchsafe	允诺，给予：grant in a gracious or condescending manner
voyeur	窥淫狂：observing unsuspecting individuals
wanting	未出现的，缺少的：not present；未达到要求的：not being up to standards
wayward	刚愎自用的，不服管束的：following one's own inclinations
weather	安全度过（危机等），经受住：come through
willful	固执的，倔强的：self-willed；故意的：deliberately
willy-nilly	不论是否愿意地：desired or not；无秩序的，随意的：without order
wilt	（花、植物等）萎焉：limp or flaccid；精神萎靡，憔悴：fatigue or exhaustion
wily	狡诈的，狡猾的：deceptive means
wiretap	偷听，窃听：get information
wistful	（带着忧伤而）渴望的，怀念的：yearning or desire with melancholy
wrest	拧，扭动：wringing or twisting movements；辛苦地获得：gain with difficulty
wrongheaded	固执己见的，坚持（错误观点）的：stubborn in adherence
