impugn	责难，攻击，抨击：attack as false
impuissance	无权，虚弱：lack of power
inadvertent	偶然发生的：by chance；疏忽的，不留意的：unintentional lack of care
inalienable	不可剥夺的，不能让与的：cannot be transferred
inane	空洞的：lacking significance
inanimate	无生命的：not living
inaugurate	使就职：induct into an office；开始：begin
incandescent	明亮灿烂的：bright；热情饱满的，感情强烈的：zeal
incantation	咒语：magic power
incarnate	化身的，人性化的：bodily nature and form；使（思想、理论）具体，体现：constitute an embodiment
incendiary	煽动者：person who stirs up；煽动性的：tending to inflame
incense	芳香：pleasant smell；激怒：extremely angry
inception	开端，开始：beginning
incessant	无间断的：without interruption
inch	少量，很短的距离：small degree；（使）慢慢移动：move slowly
inchoate	新生的，才开始的：early stage；未完全成型的：imperfectly formed
incinerate	将…烧成灰烬：burn to ashes
incipient	起初的，初现的：beginning to come into being
incite	煽动，激起：provoke
inclement	（天气等）恶劣的：lacking mildness；无情的，残酷的：unmerciful
incogitant	考虑不周到的，不体谅的：inconsiderate
incongruent	不全等的；不一致的：not conforming
inconsequential	不合逻辑的：not following good reasoning；不重要的：no significance
incontrovertible	无可争议的：not open to question
incorrigible	不可救药的，积习难改的：incapable of being corrected；无法管制的：impossible to control
incriminate	归罪于：accuse of a crime
incubate	孵化：cover and warm eggs；帮助，培养，促进：aid
inculpate	归罪于：incriminate
incursion	入侵：hostile entrance
indelible	（印记等）无法擦除的：impossible to remove；无法忘怀的：not easily forgotten
indemnity	（损害、伤害等的）保险赔偿：compensation
indict	起诉，控告：accuse
indifferent	公平的：impartiality；（质量、档次等）中规中矩的，一般的：average；不感兴趣的，冷漠的：lack of interest
indigenous	土产的，本地的：originating；与生俱来的，先天的：innermost nature
indigent	贫穷的：lacking money
indispensable	必不可少的，不可或缺的：impossible to do without
indoctrinate	教育，灌输思想：instruct
indolent	懒惰的：averse to activity
inducement	动机，刺激源：motive；劝说，游说：pleading with someone to accept
indulgent	（对己）放纵的，（对他人）纵容的：given to indulgence
indurate	铁石心肠的，冷酷无情的：a lack of sympathy；使变硬：physically firm；使习惯于（如艰苦或尴尬之境况）：withstand physical hardship
industrious	勤勉的：diligent
ineffable	难以表达的：incapable expressed
ineluctable	无法逃避的，必然的：not to be avoided
inept	愚笨的，荒谬的：lack of judgment；不恰当的，不合时宜的：not appropriate；不称职的，无能力的：incompetent
inert	（人）懒惰缺乏活力的；（物品）惰性的：sluggish, deficient
inevitable	不可避免的，必然的：incapable avoided
inexorable	无法劝阻的，不为所动的：not persuaded
infamous	臭名昭著的：bad reputation
infatuate	使迷恋：inspire unreasoning love
inferno	大火：fire；地狱：resembles hell
infiltrate	秘密潜入：enter surreptitiously
infinite	无尽的，无限的：no boundaries
infirm	虚弱的：weak in body；不果断的，优柔寡断的：lacking firmness of will
inflame	点燃，燃烧：set on fire；使加剧：more violent
infelicitous	不愉快的，不幸的：unfortunate；不恰当的，不合时宜的：not appropriate
influx	涌入：coming in
infuriate	激怒：make furious
infuse	灌输，使…充满：fill；鼓舞：inspire
ingenious	聪明的，有创造才能的：resourceful, cleverness
ingenuity	独创性，创新性：inventive
ingenuous	天真纯朴的：lacking cunning；坦白的：straightforward
ingest	摄入，咽下：take into body
ingrained	本质的，根深蒂固的：firmly established
ingratiating	讨人喜欢的：winning favor；逢迎的，意在奉承的：gain favor
inherent	内在的，本质的：essential
inimical	带有敌意的：hostility；危及某人利益的，不利的：opposed to interests
inimitable	无法效仿的，独特的：not imitated
iniquity	邪恶，不公正：immorality, injustice
initiate	创造，发动促进：cause beginning；刚入门的新手：person initiation
inkling	轻微暗示，小提示：slight indication；略知：vague notion
innocuous	无害的：no injury；乏味的，不会引起敌意的：not arouse
innovative	创新性的：introducing innovations
inquisitive	过分好奇的：inordinately curious
insensible	无知觉的：lost consciousness；漠不关心的：not responsive；粗俗的，没品味的：lacking in refinement
insensitive	缺乏机智圆滑的，缺乏社交技巧的：lacking tact；不敏感的，麻木的：not responsive
insentient	无感觉的，无知觉的：lacking perception；一知半解的，略懂的：not having a deep understanding
insight	深刻的理解：apprehending nature
insipid	（食品）清淡无味的：lacking favor；平淡的，无聊的：lacking interest
insolent	粗野的，无礼的：rude
insouciant	无忧虑的，不在乎的：free from concern
instate	任命：establish rank
instigate	煽动，激起：urge forward, stir up
instill	慢慢滴入：enter；灌输：impart
institute	创立，制定：establish；机构：organization
insubordinate	不服从权威的：not submissive
insular	（观念、想法等）孤立狭隘的：narrow provincial viewpoint
insulate	使绝缘，使隔离：detached situation
insurgent	叛乱分子：opposes authority
intangible	无法感知的，无形的：capable perceived
integral	构成整体所必需的：essential；完整的：not lacking any part
integrity	正直：adherence moral；完整性：being whole
intelligible	可理解的：being understood
intemperate	无节制的，极端的，不温和的：not temperate
intensify	加强，激化：make intense
inter	埋葬：place in grave
intercessor	调停者：mediates
interdict	禁止：forbid；阻止：stop, seize or interrupt
interim	中间过渡时期，间隔：time between event；暂时的：for the time being
interlock	连锁，连结：joined closely
