sermon	布道，说教：public speech moral
serpentine	弯曲的：winding
serrate	锯齿状的：notched
serried	密集的：little space
servile	低下的，卑屈的：submissive, abject
severe	严厉的，要求严格的：exacting standards；难以承受的，艰难的：difficult to endure
shackle	束缚：restrictions；限制，阻碍：create difficulty
shadow	偷偷尾随：secretly trail；遮蔽，（使）变暗：gloomy
shallow	浅显的，浅薄的：lack of depth of understanding
sham	欺瞒：deceitfulness；掩饰，假装：present a false appearance；虚假的：fake
shiftless	胸无大志的，懒惰的：lacking ambition
shipshape	井然有序的：order
shirk	逃避，规避：keep away from
shoal	浅的：little depth
shopworn	陈旧的：worn-out
shred	少量：small amount
shrewd	精明的，机敏的：cleverness or judgment；刺骨的，强烈的：discomfort
shrink	（在数量或价值方面）降低，减小：reduced；（使）本能性地退却（如因遇到使人惊恐的事物），（使）退缩：draw back；表示出不情愿，犹豫：hesitate
shroud	隐蔽物，可起隐蔽、保护或屏护作用的物体：conceals, protects, screens；将...从视线中隔离，遮蔽：shut off from sight
shrug	轻视，忽略：dismiss；脱下（衣物等）：rid
shun	避开，避免：keep away 
sidestep	（通过逃避而）不遵守：avoid having to comply with
signal	（在重要性、成就方面）非同寻常的：standing above；给出信号：direct or notify
simpleton	（缺乏常识的）笨蛋：lacking in common sense
simulate	假装，模仿：take on the appearance；模拟：create a representation
sin	罪恶的事：highly reprehensible
sincere	真诚的，不做作的：without pretense
sinecure	美差：requires little or no work
sinew	活力，力量：vigorous strength
singe	轻微烧焦：burn superficially
sinuous	蜿蜒的，迂回的：irregular curves
sip	（尤指小口地）喝：swallow in liquid form
skeleton	骨架，框架：structural framework
skeptic	怀疑者：doubts, questions or disagrees
skimp	缺乏的，不足的：less plentiful；节省花费，吝啬：give insufficient funds
skirmish	小冲突，争论：minor
skirt	界限，边界：marks the outer limit；绕行，避开：go around
slack	松弛的：not tightly fastened；疏忽的，大意的：failing to give proper care
slake	使满足：satisfy
slant	（看待问题、思考的）角度，看法：way of looking；倾斜的：slanting direction；歪曲（事实等）：create a wrong impression
slate	列入名单，计划，安排：put on a list
slew	大量，许多：large amount
slight	不重要的：deficient in weight；轻微的：small in degree；轻蔑，看不起：treat with disdain；忽略，疏忽：fail to give proper attention
sling	投掷：send through the air
slippery	光滑的：slide；隐秘的：acting in secret；意义不明确的：not precise in meaning
slipshod	粗心的，随意的：indifference to exactness, precision, and accuracy
sloppy	邋遢的，不整洁的：lacking neatness；混乱的：lacking in order
sloth	怠惰，懒惰：disinclination to action
slouch	懒人：lazy person；缓慢行走：move slowly
slovenly	邋遢的，不整洁的：lacking neatness
sluggard	懒人：lazy person
sluggish	缓慢的，迟缓的：slow in movement；迟钝的，反应慢的：slow to respond
slumber	睡着：sleep
slur	耻辱：mark of guilt；含糊地发音：indistinctly；疏忽，忽略：without due, consideration
sly	狡猾的：clever or cunning；隐秘的，偷偷的：acting in secret
smarmy	虚情假意的，过分恭维的：hypocritically
smart	反应敏捷的，聪颖的：sharp quick thought；整洁的：strikingly neat；感到疼痛，感到痛苦：suffer acutely
smattering	浅薄的知识：superficial knowledge；少量：small amount
smirk	（自鸣得意地）笑：offensively self-satisfied
smother	使窒息：killed by lack of air；抑制（表达，说出），压制：refrain
smug	自大的，自鸣得意的：opinion of oneself；整洁的，有序的：good order
smuggling	走私，私运：importation or exportation contrary to the law
snare	无法逃脱的困境：catches and holds；捕捉：capture by
snarl	纠缠，纠结：twist；咆哮，怒吼：to anger
sneer	（轻蔑地）嘲笑：scornful
snobbish	谄上傲下的，自大的：offensive air of superiority
snub	轻视，不理睬：contempt or neglect
soak	使...湿透：make thoroughly wet
sober	严肃的：serious-looking；节制的：restraint；有理有据的：sound reasoning
sodden	湿透的：penetrated by water；使...湿透：wet thoroughly
solace	安慰：comfort in sorrow；安慰，安抚：console
solder	连接，联合：unite
solemnity	庄严，严肃：solemn
solicitous	为他人操心的，体谅他人的：happiness of others；迫切的，渴望的：urgent desire
solid	固态的，坚固的：not easily yield to pressure；有理有据的：sound reasoning；坚定的，不迟疑的：not showing weakness
soliloquy	（尤指自言自语的）独白：without addressing a listener
solitude	孤独，避世：being alone
solvent	有偿付能力的：able to pay debts；溶剂：another substance is dissolved
somatic	肉体的：of the body
somber	昏暗的，无光的：shaded；悲伤的，不愉快的：lacking in cheer
somnolence	瞌睡，嗜睡：needing sleep
sonnet	十四行诗：14-line verse form
soothe	带来慰藉，安慰：bring comfort；使镇静，使安心：free from distress；弱化，缓解：less severe
sop	安慰物：placate or soothe；贿赂，回扣：improperly influence a person's conduct；浸湿，湿透：wet thoroughly
sophism	假推理，诡辩：deceptive argumentation
sophisticated	精明的，老于世故的：worldly knowledge or refinement；复杂的：complex
soporific	催眠的药剂，安眠药：induces sleep；催眠的：cause sleep；慵懒的，困倦的：sleepiness or lethargy
sordid	肮脏的，不干净的：not clean；卑鄙的：baseness
sound	牢固的，不可动摇的：withstand stress without structural damage；健康的，强壮的：free from injury；（逻辑）上严谨的：valid reasoning
sparse	稀疏的，稀少的：less plentiful
spartan	简朴的，节约的：simplicity
spat	（小的）争吵：quarrel
spate	突发的洪水：sudden flood；大量：large number
specific	特有的，独特的：exact sort；明确的：clearly expressed
specious	似是而非的，欺骗性的：false look of truth
speck	小点，少量：small amount 
spectator	观众，目击者，旁观者：watches
spectrum    	光谱，范围，系列：sequence or range
speculate	推测，揣测：take to be true；投机倒买：from market fluctuations
spendthrift	挥霍家，败家子：spends improvidently；挥霍的，不节俭的：spending money freely
